date;velage;matrice;veau_perf;agnelage
01/01/2023;1;;1;
02/01/2023;;3;1;
03/01/2023;;;1;
04/01/2023;;;4;
05/01/2023;1;1;;1
06/01/2023;1;;1;
07/01/2023;1;1;3;1
08/01/2023;;;;
09/01/2023;5;;2;1
10/01/2023;1;;2;
11/01/2023;;1;3;
12/01/2023;;;5;
13/01/2023;1;;3;
14/01/2023;;;3;
15/01/2023;1;;1;
16/01/2023;2;;1;
17/01/2023;;1;1;
18/01/2023;1;;3;
19/01/2023;;1;1;
20/01/2023;3;;5;
21/01/2023;2;1;2;
22/01/2023;2;;3;1
23/01/2023;2;1;3;
24/01/2023;;1;2;
25/01/2023;1;;;
26/01/2023;3;;2;1
27/01/2023;1;;3;
28/01/2023;;;5;
29/01/2023;2;;4;
30/01/2023;1;;3;1
31/01/2023;3;;2;
01/02/2023;1;1;5;
02/02/2023;3;2;3;1
03/02/2023;;;1;1
04/02/2023;3;1;;
05/02/2023;;1;;
06/02/2023;1;;5;1
07/02/2023;;1;4;
08/02/2023;1;1;4;
09/02/2023;1;;4;
10/02/2023;2;;3;
11/02/2023;1;1;4;
12/02/2023;;;1;
13/02/2023;;;5;
14/02/2023;2;1;;
15/02/2023;1;2;3;2
16/02/2023;2;;6;
17/02/2023;2;;2;1
18/02/2023;1;1;1;
19/02/2023;;;;
20/02/2023;4;;2;1
21/02/2023;1;;2;
22/02/2023;1;;3;
23/02/2023;1;;2;
24/02/2023;;1;2;
25/02/2023;2;;3;1
26/02/2023;;2;2;
27/02/2023;2;2;1;
28/02/2023;4;2;4;1
01/03/2023;;;4;
02/03/2023;;3;2;
03/03/2023;4;1;3;
04/03/2023;;1;4;1
05/03/2023;;;3;
06/03/2023;1;1;2;
07/03/2023;4;;3;
08/03/2023;1;4;1;
09/03/2023;3;3;3;1
10/03/2023;;;3;
11/03/2023;1;;4;
12/03/2023;3;2;2;
13/03/2023;3;1;4;
14/03/2023;2;1;2;1
15/03/2023;1;;3;
16/03/2023;2;1;3;
17/03/2023;2;2;2;1
18/03/2023;3;;4;
19/03/2023;;;4;
20/03/2023;3;1;4;
21/03/2023;2;;1;
22/03/2023;3;1;2;
23/03/2023;;;3;
24/03/2023;3;1;1;
25/03/2023;2;;1;
26/03/2023;1;2;4;
27/03/2023;3;1;2;
28/03/2023;1;2;2;1
29/03/2023;2;;3;1
30/03/2023;2;;;2
31/03/2023;2;;;
01/04/2023;4;1;1;
02/04/2023;1;1;1;
03/04/2023;;;1;
04/04/2023;1;1;;
05/04/2023;;1;4;
06/04/2023;;;5;
07/04/2023;1;;1;1
08/04/2023;;2;3;
09/04/2023;;;;
10/04/2023;2;;;
11/04/2023;;;6;
12/04/2023;1;1;2;
13/04/2023;3;;2;1
14/04/2023;;;2;
15/04/2023;2;1;2;1
16/04/2023;;2;;
17/04/2023;1;;1;1
18/04/2023;2;1;3;
19/04/2023;3;2;4;
20/04/2023;;;;
21/04/2023;4;;;
22/04/2023;;1;3;
23/04/2023;2;1;2;
24/04/2023;2;;3;
25/04/2023;1;;5;
26/04/2023;1;;;
